yomi,word,note
"かとう,しほ",加藤 史帆,
"ささき,くみ",佐々木 久美,
"ささき,みれい",佐々木 美玲,
"たかせ,まな",高瀬 愛奈,
"たかもと,あやか",高本 彩花,
"ひがしむら,めい",東村 芽依,
"かねむら,みく",金村 美玖,
"かわた,ひな",河田 陽菜,
"こさか,なお",小坂 菜緒,
"とみた,すずか",富田 鈴花,
"にぶ,あかり",丹生 明里,
"はまぎし,ひより",濱岸 ひより,
"まつだ,このか",松田 好花,
"かみむら,ひなの",上村 ひなの,
"たかはし,みくに",髙橋未来虹,
"もりもと,まりぃ",森本 茉莉,
"やまぐち,はるよ",山口 陽世,
"いしづか,たまき",石塚 瑶季,
"こにし,ななみ",小西 夏菜実,
"しみず,りお",清水 理央,
"しょうげんじ,ようこ",正源司 陽子,
"たけうち,きらり",竹内 希来里,
"ひらお,ほのか",平尾 帆夏,
"ひらおか,みつき",平岡 海月,
"ふじしま,かほ",藤嶌 果歩,
"みやち,すみれ",宮地 すみれ,
"やました,はるか",山下 葉留花,
"わたなべ,りな",渡辺 莉奈,
